"" "#-accomplished" "#-awake" "#-bad" "#-certain" "#-curious" "#-extraordinary" "#-fine" "#-good" "#-little" "#-pleased" "#-rich" "#-strong" "#-troubled" "#-upset" "abusive" "accomplished" "active" "admirable" "adventurous" "affectionate" "afraid" "aggravating" "agreeable" "alone" "amusing" "angry" "anxious" "appealing" "argumentative" "artificial" "ashamed" "attentive" "awake" "awful" "awkward" "bad" "bashful" "beautiful" "big" "bitter" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "casual" "cautious" "certain" "charming" "cheap" "cheerful" "childish" "chubby" "clean" "clever" "clumsy" "cold" "comfortable" "comical" "compassionate" "competent" "complicated" "concerned" "confident" "confused" "conscientious" "considerate" "consistent" "cool" "courteous" "crazy" "critical" "cruel" "curious" "dangerous" "daring" "decent" "defensive" "delighted" "delightful" "dependent" "depressed" "desirable" "determined" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "dishonest" "distinguished" "disturbed" "dumb" "eager" "effective" "efficient" "elderly" "embarrassed" "embarrassing" "encouraged" "encouraging" "energetic" "entertaining" "enthusiastic" "evil" "excellent" "excited" "exciting" "exhausted" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fascinating" "fat" "feminine" "fine" "firm" "foolish" "forgiving" "fortunate" "friendly" "frightening" "funny" "furious" "generous" "gentle" "genuine" "gifted" "glad" "good" "gorgeous" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "healthy" "helpless" "honest" "hopeful" "hostile" "humorous" "ignorant" "impatient" "important" "impressive" "independent" "inexperienced" "influential" "innocent" "insane" "insulting" "intellectual" "intelligent" "interested" "interesting" "irritable" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "lonesome" "loud" "lovely" "loyal" "lucky" "mean" "modest" "moody" "muscular" "natural" "neat" "needy" "negative" "neglected" "nervous" "nice" "noisy" "obnoxious" "observant" "offensive" "old" "open" "ordinary" "original" "passionate" "pathetic" "patient" "peaceful" "persuasive" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "popular" "positive" "powerful" "practical" "prejudiced" "pretty" "private" "productive" "professional" "prominent" "prompt" "proper" "prosperous" "proud" "punctual" "quiet" "reasonable" "rebellious" "reckless" "relaxed" "religious" "remarkable" "respectable" "respected" "respectful" "responsible" "rich" "ridiculous" "romantic" "rough" "rude" "sad" "sarcastic" "satisfied" "seductive" "selfish" "sensible" "sensitive" "sentimental" "serious" "shallow" "short" "sincere" "skilled" "skinny" "sleepy" "slim" "sloppy" "smart" "social" "spontaneous" "stable" "straightforward" "strange" "strict" "strong" "stupid" "successful" "superstitious" "surprised" "suspicious" "sweet" "sympathetic" "talented" "talkative" "tall" "terrible" "terrific" "thin" "thorough" "thoughtful" "thoughtless" "tiny" "tired" "tough" "troubled" "uncomfortable" "ungraceful" "unhappy" "unlucky" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"cool" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 1 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 2 1 0 0 0 1 0 2 0 1 0 0 1 0 0 1 0 2 0 0 1 7 0 0 0 1 5 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 5 1 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 3 0 0 0 0 5 1 1 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 1 0 0 2 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 2 0 2 0 2 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 4 0
"courteous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0
"crazy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"critical" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 3 1 1 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 4 0
"cruel" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 2 0 0 4 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 4 0 0 0 0 6 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 5 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 1 1 0 0 0 0 0 0 0 0 2 0 0 1 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0
"curious" 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 3 1 2 4 2 0 1 0 0 1 0 1 0 4 1 4 0 0 1 0 0 2 1 2 1 0 1 1 0 0 8 0 1 3 0 0 3 2 0 6 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 2 0 0 1 2 1 2 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 1 1 0 1 1 2 0 0 0 1 4 5 1 0 1 0 1 0 7 1 0 0 2 2 0 0 1 0 1 0 0 0 21 0 1 0 0 19 0 3 5 3 0 0 0 1 0 0 0 2 0 2 0 0 0 0 1 1 0 0 0 0 2 0 2 0 0 0 0 18 2 1 1 4 1 0 0 0 0 0 0 5 0 0 0 0 1 3 1 0 0 0 19 6 2 1 0 0 0 0 0 1 0 6 0 1 1 5 0 1 1 0 0 2 6 0 4 0 0 0 0 2 2 2 1 1 0 0 0 4 2 0 1 0 4 0 1 2 0 1 0 3 0 0 1 1 0 0 0 10 0 0 0 1 1 1 3 0 0 0 0 5 0 1 0 0 0 2 1 3 0 0 1 3 0 1 2 0 0 0 0 2 0 0 2 0 1 0 0 1 0 2 3 3 0 1 1 2 1 15 0
"dangerous" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 1 0 1 3 0 1 0 0 1 0 2 1 0 1 0 0 1 1 0 0 0 0 0 2 1 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 10 0 0 1 1 8 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 6 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 1 1 1 0 0 0 9 2 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 4 1 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 1 0 2 0 0 0 0 2 0 2 2 0 0 0 1 2 0 0 0 3 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 7 0
"daring" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0
"decent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 3 0 1 0 0 1 0 1 1 1 1 1 4 0 0 2 0 0 1 5 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 2 1 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 2 2 2 0 1 1 1 0 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 9 0 0 1 2 9 0 0 4 1 0 0 0 1 0 0 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 11 1 0 0 2 1 0 0 0 0 0 0 3 2 0 0 0 0 3 0 0 0 0 12 3 2 0 0 1 0 0 0 0 0 5 0 0 1 2 0 0 0 0 0 1 1 0 2 0 0 2 0 1 0 3 2 1 0 0 0 3 1 0 1 0 2 0 1 0 0 0 0 0 0 0 1 1 2 0 2 5 0 0 0 0 0 0 2 0 1 0 0 4 1 4 1 0 0 0 1 1 0 0 0 3 0 0 2 0 1 0 0 1 0 1 1 1 2 0 0 2 0 1 2 5 0 1 1 0 1 8 0
"defensive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"delighted" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 5 0 1 0 1 1 2 0 0 0 1 0 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 1 0 0 0 0 0 2 4 0 1 0 0 0 1 1 0 0 1 1 0 0 1 2 0 0 0 0 0 0 4 1 0 0 0 1 3 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 3 0 1 0 0 5 1 1 0 0 0 5 2 3 0 2 0 0 2 0 0 0 0 1 0 0 4 11 1 1 0 0 16 0 0 5 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 1 2 0 0 1 0 0 0 13 0 1 0 3 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 11 5 1 0 0 0 1 0 0 0 0 6 0 0 0 2 2 0 1 0 0 0 4 0 4 0 0 1 0 2 0 2 0 0 0 0 0 4 0 0 0 0 2 0 1 0 0 0 0 4 0 1 0 0 0 1 0 10 0 1 0 1 0 0 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 3 1 0 3 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 2 2 0 1 8 0
"delightful" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 4 2 0 1 4 0 0 1 1 0 1 1 0 1 0 7 1 0 2 2 0 3 0 0 2 0 1 0 0 0 5 3 3 1 0 1 3 0 0 1 3 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 2 0 0 2 0 4 0 0 0 2 2 2 1 0 0 1 0 1 2 1 0 1 0 0 1 1 1 0 0 3 0 1 0 2 1 1 1 1 4 2 2 1 0 0 0 5 0 6 1 2 0 1 1 0 0 3 0 2 0 0 3 15 0 1 0 1 19 0 2 4 1 1 0 0 0 0 1 1 0 0 5 1 2 0 0 0 0 0 0 1 1 0 1 1 0 2 0 1 20 2 0 1 7 2 1 0 0 0 0 0 5 1 0 0 0 1 8 0 0 0 0 18 10 1 1 2 0 0 0 0 0 0 8 0 3 0 5 0 0 1 1 0 4 6 0 2 0 1 1 0 1 0 2 3 0 0 0 0 5 1 0 0 1 3 0 2 1 0 1 1 0 0 0 2 0 2 1 1 9 0 1 0 1 0 0 2 0 1 0 0 5 0 7 0 1 0 2 0 4 0 0 0 1 1 1 4 1 0 0 0 2 0 1 1 0 1 0 0 2 2 2 1 3 0 0 1 3 1 15 0
"dependent" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 2 0
"depressed" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"desirable" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 2 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 3 1 0 0 1 2 1 2 0 0 0 0 2 0 3 0 2 0 0 1 0 0 1 0 2 0 0 1 5 0 0 0 1 5 0 0 1 0 0 0 0 1 0 0 0 0 0 3 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 1 0 2 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0 3 0
"determined" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 2 2 2 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 6 0 0 0 1 6 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 4 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 5 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 4 0 0 0 0 0 1 2 0 0 0 0 0 3 2 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 1 1 0 6 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 2 0 0 4 0
"devoted" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 2 0 1 3 0 2 1 0 0 0 1 0 0 2 2 3 0 2 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 3 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 2 1 0 0 0 1 0 1 2 2 2 1 1 0 1 2 1 2 0 0 0 1 0 6 0 2 0 1 0 0 0 1 0 0 0 0 3 10 0 0 0 1 9 1 0 2 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 8 1 4 0 2 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 11 3 0 0 0 0 0 0 0 2 0 0 0 0 1 2 1 0 1 0 0 0 2 0 1 0 0 2 0 3 0 2 0 0 0 0 0 0 1 0 1 0 3 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 4 0
"difficult" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 6 2 1 1 1 0 0 0 0 0 0 1 0 2 0 2 1 0 0 1 1 3 0 1 0 0 0 0 0 1 1 1 1 3 0 0 0 1 0 8 0 1 0 0 2 0 1 0 1 1 1 0 1 0 1 0 2 0 0 1 0 3 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 1 0 1 0 0 1 1 1 0 2 0 0 1 0 1 3 0 0 2 1 2 1 1 6 1 0 0 0 2 0 0 0 0 1 1 1 1 12 1 2 0 0 15 0 2 3 2 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 2 0 0 0 1 0 0 13 0 2 0 4 1 0 2 0 0 1 0 4 0 0 1 0 2 3 0 0 0 0 10 5 6 0 0 0 0 0 0 0 0 3 2 1 1 5 1 0 0 0 0 0 4 0 2 0 0 1 0 1 0 5 1 0 0 0 0 4 1 0 0 0 2 0 0 1 0 0 0 2 0 0 1 0 1 2 0 9 0 0 0 1 0 0 1 1 0 0 0 0 1 3 0 0 0 0 2 2 0 0 1 3 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 2 0 0 1 3 1 13 0
"direct" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"disabled" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
